store_name,c1,c2,location,new_address,X,Y
국선도,실내스포츠,기타실내운동시설,서대문구,서울특별시 서대문구 신촌로 141,37.55701295,126.9415866
써미트,실내스포츠,기타실내운동시설,마포구,서울특별시 마포구 신촌로24안길 14,37.55551287,126.9421058
하나스포츠,실내스포츠,기타실내운동시설,마포구,서울특별시 마포구 백범로 108-1,37.54706248,126.9432664
중국우슈,실내스포츠,기타실내운동시설,마포구,서울특별시 마포구 대흥로 193,37.55637381,126.9456815
타워피엠씨래미안트윈파크생활지원센터,실내스포츠,기타실내운동시설,동작구,서울특별시 동작구 노량진로23가길 23,37.51407906,126.9507675
에이스탁구교실,실내스포츠,기타실내운동시설,용산구,서울특별시 용산구 효창원로 132,37.53967489,126.9616565
울라라,실내스포츠,기타실내운동시설,관악구,서울특별시 관악구 인헌길 21,37.47460331,126.9670458
반트짐,실내스포츠,기타실내운동시설,용산구,서울특별시 용산구 이촌로 200,37.52092834,126.9693375
성민교회TMS탁구교실,실내스포츠,기타실내운동시설,용산구,서울특별시 용산구 후암로 91-21,37.55281047,126.9748742
타워피엠씨-래미안첼리투스생활지원센터,실내스포츠,기타실내운동시설,용산구,서울특별시 용산구 이촌로 310,37.51714522,126.9798645
킹콩점프,실내스포츠,기타실내운동시설,동작구,서울특별시 동작구 동작대로27다길 26,37.48631438,126.9802274
대한권투체육관,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 방배천로2길 41,37.4768427,126.9852742
윈윈탁구,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 사평대로2길 22,37.49773224,126.9856363
실내방방노리파크,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 방배중앙로 148,37.49225691,126.9870447
서초유도,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 방배로27길 12,37.48990683,126.9914526
방배야구연습장,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 방배로28길 6,37.49006112,126.9926379
